,Date,User,Tweet
26,2019-07-30 13:47:16+00:00,CuteGirlUglySe1,"Equalize-HER https://t.co/gzflLxN3rY
#equality #equalityproduction #EqualityWalk #equalityforthenips #EqualityForAllSpecies #equalitymarriage #equalityinsport #equalityofsexes https://t.co/VLJ8DKAkSf"
27,2019-05-23 19:25:04+00:00,MarieWattsBooks,#equality #equalityrights  #equalityaccount #equalityhasmanyforms #EqualityBeforeTheLaw #equalityadvocate #equalityispossible #equalityfollow #equalityforeveryone #equalityforall  #equalityofgenders #equalityforwomen #equalitymovement #equalityofsexes #equalitymatters https://t.co/Ag9JCTGimc
28,2019-03-08 05:19:09+00:00,KevOwee1,"@citizentvkenya You can say this again... Just a little bit louder. 
Blessed be the womb that bore thee. Happy women's day phenomenal woman!!!
#EqualityofSexes"
29,2018-12-11 04:03:11+00:00,Emilio_Verdi,@the_rojava @curdistani #MeToo Let us #Hear the #VoicesofSolidarity of the brave #Women of #Afrin #HumanRightsDay #EqualityOfSexes is esse of #Healthy and #FreeSociety #WorldThatWorksForEveryone @jeremycorbyn @DrJillStein @Greg_Palast @ajamubaraka @NancyPelosi @Ocasio2018 @NaomiAKlein @jeremyscahill
30,2018-11-25 13:12:08+00:00,Kumargautamkg,"Didn’t knew about this, certainly a eye-opener. Education system needs to update along with time to remove disparities and bring in equality. 

#Education #EqualityOfSexes #Islam #FemaleInequality https://t.co/RfkcrM1gD6"
31,2018-10-17 12:30:02+00:00,MeenaDasNarayan,When congress is caught in rape cases.. SILENCE.. when they abuse women.. no equality.. SILENCE.. only #Sabrimala is about #EqualityofSexes LOL #DoubleSpeakParty
32,2018-10-16 06:00:27+00:00,beyondiversity,"Everyone has their own definition of feminism. What is yours?

#TuesdayMotivation #TuesdayThoughts #TuesdayTreat #feminist #feminism #genderequity #GenderPayGap #womenentrepreneurs #womenempowerment #womenempoweringwomen #EqualityForAll #equalityofsexes #womenmatters https://t.co/xoi7lOhIJw"
33,2018-07-23 09:30:09+00:00,equali_twear,#equalityken #equalityline  #equalitynotcharity #EqualityMD  #equalitymonday #equalityofsexes  #equalityforrace #equalityispossible  #equalityni #equalityaccount  #equalitywins #equalityleague #equalitync  #equalityinsport
34,2018-07-22 15:35:04+00:00,equali_twear,#Equality #equalityforall #equalityforeveryone #equalitynow #Equality4All #equalitymarriage #equalityneedsyou #equalityforward #equalityadvocate #equalitymovement #equalityrights #equalitymarch #equalitySunday #equalityofsexes #equalityforrace #equalityispossible
35,2018-06-14 14:48:57+00:00,sheenatweet,Why black women's experiences of #MeToo are different via @TC_Africa https://t.co/xfNpjx6PVK #BlackWomen #women #equalityofsexes
36,2018-04-06 12:03:02+00:00,Kumargautamkg,"It’s not only India but Japan also needs reforms when it comes to equality of sexes. Seems they are still living in medieval era. 

#Japan #Sumo #EqualityOfSexes #WomenEmpowerment #Woman #Japanese 

https://t.co/mlvRwoeFIQ"
37,2018-03-25 19:42:38+00:00,viswanadhasriva,"#EqualityOfSexes should be a pit stop, not the destination in our rally towards #NoToDiscrimination where feminists are one of the cohorts"
38,2018-03-08 20:04:30+00:00,James_Madiosn,"@JudithAPUSH2018 An early advocate of #EqualityOfSexes ,but dont want to be drafted in wars 🤦🏻‍♂️"
39,2018-03-08 14:30:10+00:00,brendoncbm,"Happy International Women's Day. Until today, I am still very proud and not afraid to say, I am a feminist. #internationalwomensday2018 #equalityofsexes"
40,2018-02-01 08:19:47+00:00,KissJessicaJane,"Instead of banning walk-on girls across all sports, let’s introduce walk-on MEN!! #EqualityOfSexes #walkOnGirls #WalkOnMen #everyonesAWinner 👍🏻 https://t.co/Q1ybtrf0cF"
41,2018-01-20 20:19:09+00:00,jasonjimenez,Jk! #womensmarch #equalityofsexes https://t.co/PlLe9q8wl0
42,2018-01-11 20:14:18+00:00,GaryWmMyers,"‘Historic Step’: #Greece Curbs #Powers of #Islamic #Sharia #Courts
#Islamization in #Reverse

#criticism #morality #Islam #Turkey #Thrace #equalityofsexes #laws #legislation https://t.co/S8eozKC1oM https://t.co/CcPo2FUolk"
43,2017-09-06 17:28:17+00:00,TheRealHaud,#DEMOCRACY #EQUALITYOFSEXES  #weheartthegreatpeacemaker #womenANDmenareimportant #beck4 https://t.co/pWDN2jECm1
44,2017-06-26 19:45:28+00:00,RobertNorthove3,"When are we going to stop teaching our kids Chaucer and sending them down the pub to be exploited when drunk. #Youthpower 
#equalityofsexes"
45,2017-06-22 14:18:18+00:00,KathrynKickligh,"RGB speaks. #EqualityOfSexes

Justice Ginsburg and the Price of Equality https://t.co/OYtvJOfYfj"
46,2017-06-09 23:55:07+00:00,RobertNorthove3,Can you spell people with a w? Wombmen. #equalityofsexes
47,2017-03-08 09:59:57+00:00,eugomescarol,Feliz dia da mulher 💜 #EqualityOfSexes
48,2017-01-16 17:52:42+00:00,Bob_Bery,@CNN Misandry is as powerful a prejudice as Misogyny I know not all the women are but many oppose Trump because he's a man #EqualityOfSexes
49,2016-12-21 14:13:43+00:00,kbsafdar,"@CowaterConnects #UnitedNations​ Humanity needs #Equalityofsexes #educationforAll #health, #childcare #cleandrinkingwater #cleanenviroment"
50,2016-10-17 05:27:31+00:00,Psychokanga,Why wasn't she holding the umbrella for him #everydaysexism #equalityofsexes https://t.co/e26DFvnTr5
51,2016-10-02 02:18:18+00:00,zomdykiwi,#equalityofsexes - Edward Elric's style 😂😂😂😂 https://t.co/54I28IC9fK
52,2016-08-25 02:08:25+00:00,Moyoolusoji,"Women are the future, so we all have equal rights and we should be treated fairly in the society no matter what #EqualityOfSexes"
53,2016-08-25 02:06:31+00:00,Moyoolusoji,But we should try reaching or doing things men do that they think it's not for women and men should support us #EqualityOfSexes
54,2016-07-08 08:28:31+00:00,BiztheBuz,"@gemmacdoyle @MSmithsonPB Women's lib also means using your sex to get on is an insult to intelligent women.
#EqualityofSexes"
55,2016-05-19 03:01:29+00:00,MarianeLapierre,This is injustice😪👎🏼 Make me sick.. #feminist #equalityofsexes  https://t.co/JdYPWOXbMK
